kegg	description
hsa05200	Pathways in cancer
hsa05202	Transcriptional misregulation in cancer
hsa05205	Proteoglycans in cancer
hsa05206	MicroRNAs in cancer
hsa05210	Colorectal cancer
hsa05212	Pancreatic cancer
hsa05213	Endometrial cancer
hsa05215	Prostate cancer
hsa05216	Thyroid cancer
hsa05219	Bladder cancer
hsa05222	Small cell lung cancer
hsa05223	Non-small cell lung cancer
hsa05224	Breast cancer
hsa05226	Gastric cancer
hsa05230	Central carbon metabolism in cancer
hsa05231	Choline metabolism in cancer
hsa05211	Renal cell carcinoma
hsa05217	Basal cell carcinoma
hsa05225	Hepatocellular carcinoma
hsa05218	Melanoma
