Source,Target,Weight
24,52,1
108,43,1
83,49,1
99,98,1
44,81,1
35,43,1
105,91,1
3,103,1
105,88,1
13,27,1
105,42,1
13,24,1
14,87,1
83,80,1
0,5,1
94,52,1
78,103,1
44,53,1
79,71,1
70,106,1
105,86,1
3,79,1
75,1,1
13,69,1
38,53,1
38,71,1
57,53,1
65,112,1
60,43,1
69,55,1
18,43,1
87,7,1
62,77,1
105,11,1
44,6,1
60,58,1
28,87,1
44,72,1
99,19,1
6,53,1
20,42,1
99,79,1
10,90,1
110,77,1
44,65,1
105,101,1
14,31,1
28,53,1
83,23,1
14,30,1
75,73,1
28,7,1
99,73,1
51,39,1
83,26,1
10,98,1
51,37,1
51,30,1
105,66,1
44,25,1
41,106,1
54,43,1
13,5,1
54,5,1
13,87,1
83,19,1
25,34,1
93,30,1
12,86,1
105,23,1
54,103,1
3,87,1
98,90,1
14,32,1
3,104,1
13,90,1
23,19,1
60,100,1
59,66,1
105,19,1
54,95,1
48,86,1
46,19,1
13,106,1
3,84,1
15,62,1
44,94,1
14,93,1
35,2,1
79,73,1
79,63,1
105,92,1
3,108,1
8,69,1
75,42,1
51,107,1
51,62,1
44,49,1
105,18,1
29,58,1
105,90,1
38,42,1
13,26,1
13,65,1
21,52,1
105,20,1
99,43,1
15,77,1
108,1,1
35,71,1
14,36,1
20,100,1
89,53,1
28,98,1
78,1,1
28,80,1
13,53,1
105,12,1
95,63,1
99,23,1
111,32,1
99,104,1
105,104,1
20,58,1
51,77,1
51,96,1
3,43,1
105,59,1
28,49,1
28,90,1
54,33,1
54,19,1
38,61,1
38,79,1
99,63,1
105,29,1
75,5,1
102,87,1
44,26,1
14,23,1
28,56,1
105,100,1
79,43,1
107,53,1
13,80,1
13,98,1
99,71,1
0,67,1
18,58,1
83,24,1
51,19,1
3,7,1
3,63,1
29,100,1
13,7,1
13,89,1
38,1,1
79,1,1
20,90,1
44,80,1
18,63,1
102,7,1
28,26,1
36,31,1
45,91,1
105,74,1
8,55,1
46,23,1
105,82,1
44,112,1
14,19,1
109,53,1
83,94,1
75,33,1
16,67,1
76,72,1
36,32,1
105,60,1
3,1,1
105,45,1
3,2,1
3,80,1
4,17,1
13,16,1
15,85,1
39,96,1
54,23,1
20,74,1
83,52,1
110,62,1
110,19,1
28,6,1
39,37,1
105,43,1
105,40,1
99,1,1
14,7,1
99,2,1
3,73,1
44,52,1
44,97,1
26,80,1
51,106,1
68,88,1
95,103,1
54,63,1
13,49,1
13,67,1
38,43,1
15,47,1
13,57,1
111,31,1
99,42,1
51,53,1
57,106,1
60,9,1
95,43,1
60,63,1
105,63,1
54,75,1
105,9,1
79,42,1
13,55,1
78,95,1
13,52,1
99,35,1
3,71,1
44,64,1
49,80,1
20,92,1
3,42,1
105,58,1
13,61,1
105,4,1
38,63,1
13,97,1
38,73,1
51,41,1
51,23,1
35,104,1
3,35,1
51,70,1
54,42,1
3,95,1
105,48,1
22,86,1
13,0,1
0,27,1
81,64,1
83,21,1
44,76,1
44,34,1
61,53,1
108,63,1
29,82,1
54,73,1
54,1,1
13,109,1
56,53,1
51,93,1
84,50,1
101,58,1
95,1,1
78,43,1
105,17,1
105,68,1
47,85,1
105,22,1
107,106,1
13,112,1
75,43,1
99,90,1
20,104,1
78,63,1
3,49,1
110,23,1
3,50,1
11,40,1
65,97,1
14,111,1
